#Top: example_top   Floorplan: synth_1   Part: xcku3p-ffva676-2-i
#Generated by: johnh   on: Thu Jul 25 14:09:49 2024
#Build: Vivado v2022.2   by: xbuild   on: Fri Oct 14 05:00:03 MDT 2022
#Package Version: PRODUCTION 1.1 3/9/2017
#Package Pin Delay Version: PRODUCTION 1.0 8/23/2016

#The following package pin(s) are connected to master PCIE reset pins, and #    should be tied off to a 1.8V standard - 
IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,EQUALIZATION,Pull Type,DQS_BIAS,DIFF_TERM,OFFCHIP_TERM,Board Signal,Board Voltage,ODT
67,G16,IOB_X0Y202,IO_L22N_T3U_N7_DBC_AD0N_67,99.688,100.690,,interface_ddr4_0,c0_ddr4_dqs_c[1],INOUT,N,c0_ddr4_dqs_t[1],DIFF_POD12_DCI,,FAST,RDRV_40_40,RDRV_240,,EQ_LEVEL2,,,,FP_VCCO_50,,,RTT_40
67,C23,IOB_X0Y163,IO_L4N_T0U_N7_DBC_AD7N_67,112.003,113.129,,interface_ddr4_0,c0_ddr4_dqs_c[0],INOUT,N,c0_ddr4_dqs_t[0],DIFF_POD12_DCI,,FAST,RDRV_40_40,RDRV_240,,EQ_LEVEL2,,,,FP_VCCO_50,,,RTT_40
67,D16,IOB_X0Y194,IO_T2U_N12_67,98.137,99.123,,interface_ddr4_0,c0_ddr4_odt[0],OUT,,,SSTL12_DCI,,FAST,RDRV_40_40,,,,,,,FP_VTT_50,,,
67,D20,IOB_X0Y179,IO_L12P_T1U_N10_GC_67,102.610,103.642,,interface_ddr4_0,c0_ddr4_ba[1],OUT,,,SSTL12_DCI,,FAST,RDRV_40_40,,,,,,,FP_VTT_50,,,
67,C22,IOB_X0Y176,IO_L10N_T1U_N7_QBC_AD4N_67,104.094,105.140,,interface_ddr4_0,c0_ddr4_ba[0],OUT,,,SSTL12_DCI,,FAST,RDRV_40_40,,,,,,,FP_VTT_50,,,
67,D21,IOB_X0Y180,IO_L12N_T1U_N11_GC_67,101.251,102.268,,interface_ddr4_0,c0_ddr4_bg[0],OUT,,,SSTL12_DCI,,FAST,RDRV_40_40,,,,,,,FP_VTT_50,,,
67,C21,IOB_X0Y175,IO_L10P_T1U_N6_QBC_AD4P_67,105.323,106.381,,interface_ddr4_0,c0_ddr4_adr[16],OUT,,,SSTL12_DCI,,FAST,RDRV_40_40,,,,,,,FP_VTT_50,,,
67,B22,IOB_X0Y174,IO_L9N_T1L_N5_AD12N_67,102.078,103.104,,interface_ddr4_0,c0_ddr4_adr[15],OUT,,,SSTL12_DCI,,FAST,RDRV_40_40,,,,,,,FP_VTT_50,,,
67,B21,IOB_X0Y173,IO_L9P_T1L_N4_AD12P_67,107.550,108.631,,interface_ddr4_0,c0_ddr4_adr[14],OUT,,,SSTL12_DCI,,FAST,RDRV_40_40,,,,,,,FP_VTT_50,,,
67,A20,IOB_X0Y172,IO_L8N_T1L_N3_AD5N_67,122.184,123.412,,interface_ddr4_0,c0_ddr4_adr[13],OUT,,,SSTL12_DCI,,FAST,RDRV_40_40,,,,,,,FP_VTT_50,,,
