Designator,Mid X,Mid Y,Rotation,Layer
J1,128.0,-95.0,270.0,bottom
J18,156.9,-95.0,0.0,top
J2,170.0,-95.0,90.0,bottom
J3,141.05,-95.0,180.0,top
J4,149.005,-118.725,270.0,top
J5,148.995,-71.24,90.0,top
