Designator,Mid X,Mid Y,Rotation,Layer
D2,220.25,-77.77,180.0,top
D3,220.25,-80.359999,180.0,top
D4,220.25,-82.95,180.0,top
D5,222.825,-65.925,180.0,top
D6,181.475,-101.425,90.0,bottom
D7,218.925,-101.425,90.0,top
D8,183.375,-55.525,270.0,bottom
D9,181.375,-55.525,270.0,bottom
FB1,198.53,-78.775,0.0,bottom
FB2,196.73,-78.025,0.0,bottom
FB3,184.275,-68.162501,90.0,top
FB4,212.815,-73.125,0.0,bottom
J1,221.125,-78.475,270.0,bottom
J2,179.125,-78.475,90.0,bottom
L1,204.5125,-97.675,180.0,top
L2,197.675,-57.175,0.0,top
L3,184.975001,-60.625,180.0,top
L4,195.831,-97.675,0.0,top
L5,185.375,-57.175,180.0,top
L7,197.675,-60.775,0.0,top
Q10,180.625,-64.9875,0.0,top
Q6,216.01,-82.150001,180.0,top
Q7,216.01,-84.95,180.0,top
R1,182.525,-90.425,90.0,top
R10,214.675,-68.675,180.0,top
R100,191.925,-54.675,270.0,top
R101,191.1,-63.425,90.0,top
R102,187.768499,-94.52,270.0,top
R105,184.875,-66.825,270.0,bottom
R106,185.725,-66.025,270.0,top
R108,217.075,-84.225,180.0,bottom
R109,217.08,-85.225,180.0,bottom
R11,199.925,-73.225,0.0,bottom
R110,217.08,-85.725,180.0,bottom
R111,217.08,-84.725,180.0,bottom
R112,179.66,-59.18,90.0,bottom
R113,176.625,-59.18,90.0,bottom
R114,182.125,-65.645,90.0,bottom
R118,178.7,-59.18,90.0,bottom
R119,175.9,-61.525,90.0,bottom
R12,200.9,-69.775,180.0,bottom
R120,182.125,-64.23,270.0,bottom
R121,197.204999,-65.035,180.0,bottom
R122,193.4,-65.035,0.0,bottom
R123,192.125,-65.035,180.0,bottom
R124,195.935,-65.035,180.0,bottom
R125,194.67,-65.035,0.0,bottom
R126,190.865,-65.035,180.0,bottom
R127,184.5474,-70.175,270.0,bottom
R128,185.455,-73.3,0.0,top
R129,212.775,-79.67,270.0,bottom
R13,199.605,-71.475,270.0,bottom
R130,208.425,-80.2,270.0,bottom
R131,207.475,-73.6,90.0,bottom
R132,191.125,-54.725,270.0,bottom
R133,212.325,-92.955,90.0,top
R134,213.025,-92.955,90.0,top
R135,202.175,-83.945,270.0,bottom
R136,202.875,-83.945,270.0,bottom
R137,209.925,-101.575,270.0,top
