Designator,Mid X,Mid Y,Rotation,Layer
L2,141.025,-97.63,180.0,bottom
L3,147.85,-84.8,90.0,bottom
Q2,158.8,-118.837501,0.0,bottom
Q4,174.85,-83.05,0.0,bottom
R1,128.725,-92.65,180.0,top
R100,164.6,-104.95,90.0,bottom
R105,172.0,-106.225,270.0,top
R11,151.4,-116.22,270.0,top
R119,146.395,-82.45,0.0,top
R12,150.0,-116.22,90.0,top
R124,146.395,-81.05,180.0,top
R125,137.25,-78.3,270.0,top
R126,136.55,-78.3,270.0,top
R129,128.73,-94.85,0.0,top
R13,152.1,-116.22,90.0,top
R130,139.17,-104.225,180.0,top
R131,138.28,-111.295,270.0,bottom
R132,137.58,-111.295,270.0,bottom
R133,128.725,-94.15,0.0,top
R134,154.19,-101.0875,180.0,top
R135,131.34,-110.935,0.0,top
R136,135.859999,-108.3,180.0,top
R137,135.05,-103.91,90.0,top
R138,135.76,-103.91,90.0,top
R139,135.05,-97.3,180.0,top
R14,150.38,-114.1,180.0,top
R140,136.46,-103.91,270.0,top
R141,136.345001,-104.535,180.0,bottom
R142,136.345001,-103.835,0.0,bottom
R143,136.46,-109.88,90.0,bottom
R144,131.849999,-93.35,180.0,top
R145,131.849998,-92.65,180.0,top
R148,140.9,-85.5,90.0,top
R149,141.6,-85.5,90.0,top
R15,150.38,-112.7,180.0,top
R150,142.3,-85.5,90.0,top
R151,143.0,-85.5,90.0,top
R152,147.55,-85.505,90.0,top
R153,148.9875,-85.505,90.0,top
R154,149.6875,-85.505,90.0,top
R155,150.3875,-85.505,90.0,top
R156,154.1,-94.0,0.0,top
R157,154.1,-94.7,0.0,top
R158,154.1,-95.5,0.0,top
R159,154.1,-96.2,0.0,top
R16,150.475,-77.05,180.0,top
R17,150.475,-76.35,180.0,top
R18,150.38,-113.4,0.0,top
R19,150.38,-112.0,0.0,top
R2,128.725,-93.35,180.0,top
R20,158.775,-116.1,0.0,bottom
R21,158.775,-116.8,0.0,bottom
R22,153.54,-117.85,0.0,bottom
R23,153.28,-79.33,180.0,bottom
R25,160.82,-110.6,180.0,bottom
R26,155.05,-118.782499,90.0,top
R27,158.83,-104.325,180.0,bottom
R28,158.69,-111.1,180.0,top
R3,174.07,-109.175,0.0,bottom
R30,157.43,-104.325,180.0,bottom
R31,152.38,-118.782499,270.0,top
R33,153.38,-110.6,0.0,bottom
R34,154.405,-104.5,180.0,bottom
R35,156.155,-119.775,180.0,bottom
R36,152.504999,-111.175,0.0,top
R38,153.0,-104.5,180.0,bottom
R39,169.53,-75.875,180.0,top
R4,150.475,-75.65,180.0,top
R40,171.775,-81.15,270.0,bottom
R41,163.3,-73.68,180.0,top
R42,163.3,-72.95,180.0,top
R43,166.325,-75.9,180.0,top
R44,168.75,-72.85,270.0,top
R45,171.3,-80.45,0.0,top
R46,171.3,-81.15,0.0,top
R47,171.305,-81.85,180.0,top
R48,167.045,-71.65,180.0,top
R5,150.475,-74.95,180.0,top
R50,156.075,-92.275,90.0,bottom
R51,159.555,-99.625,180.0,top
R52,158.145,-99.625,180.0,top
R54,156.73,-99.625,180.0,top
R55,157.515,-97.37,0.0,top
R56,147.5825,-72.9742,0.0,bottom
R57,130.46,-84.58,180.0,top
R58,155.725,-84.775,90.0,bottom
R59,155.025,-84.775,270.0,bottom
R6,174.12,-107.925,0.0,bottom
R60,156.395,-91.4875,0.0,top
R61,155.38,-83.7,0.0,bottom
R62,154.905,-98.57,0.0,bottom
R63,154.995,-91.4875,0.0,top
R64,154.905,-97.77,0.0,bottom
R65,173.6,-90.85,180.0,top
R66,161.3,-93.625,270.0,top
R67,173.6,-90.15,180.0,top
R68,168.35,-92.5,0.0,top
R69,160.6,-93.625,270.0,top
R7,174.07,-109.875,0.0,bottom
R70,166.3,-81.9,270.0,top
R71,165.6,-81.9,270.0,top
R72,164.95,-93.25,180.0,top
R73,160.57,-71.7,0.0,top
R74,160.57,-72.4,0.0,top
R8,150.2,-108.67,90.0,bottom
R84,160.765,-88.85,180.0,bottom
R9,149.5,-108.67,90.0,bottom
R92,155.0025,-88.8,0.0,top
R95,169.925,-103.455,90.0,top
R97,165.13,-101.35,0.0,bottom
R98,167.025,-100.1,270.0,top
SW1,129.35,-79.25,90.0,top
TP1,128.2,-85.2,180.0,top
TP10,141.17981,-71.7,270.0,bottom
TP11,171.8234,-112.725,0.0,top
TP12,128.025,-109.85,180.0,top
TP13,128.025,-108.55,180.0,top
TP14,156.15,-80.625,90.0,top
TP15,156.925,-80.625,90.0,top
TP16,158.325,-81.45,0.0,top
TP17,155.325,-92.35,0.0,top
TP18,157.7,-93.225,0.0,top
TP19,135.525,-89.0875,0.0,top
TP2,128.2,-86.7,180.0,top
TP20,154.58,-99.85,0.0,top
TP21,135.525,-95.5875,0.0,top
TP22,134.78,-101.18,0.0,top
TP23,128.025,-107.18,0.0,top
TP24,137.45,-114.875,0.0,bottom
TP25,154.275,-112.2,0.0,top
TP26,159.875,-112.2,0.0,top
TP3,137.25,-71.7,90.0,bottom
TP4,135.75,-71.7,90.0,bottom
TP5,139.679811,-71.7,270.0,bottom
U1,154.89,-114.125,180.0,bottom
U10,166.35,-73.85,0.0,top
U11,167.7,-88.525,0.0,bottom
U12,159.77,-97.17,180.0,bottom
U13,149.925,-74.4242,270.0,bottom
U14,155.3375,-76.0,90.0,top
U15,154.25,-86.3,0.0,top
U16,162.45,-87.7375,270.0,top
U17,165.8,-103.9,180.0,top
U18,142.5,-80.95,270.0,bottom
U19,144.6875,-95.0875,180.0,top
U2,172.2484,-109.3,270.0,bottom
U20,143.954999,-107.335,180.0,top
U21,136.26,-107.035,90.0,bottom
U22,140.9,-107.335,180.0,top
U23,141.0,-115.0,180.0,bottom
U3,157.850002,-108.487499,180.0,top
U4,166.0,-110.0,0.0,top
U5,163.25,-110.4,180.0,top
U6,152.325,-108.487499,180.0,top
U7,168.75,-110.4,180.0,top
U8,170.15,-84.4,180.0,top
U9,166.25,-76.75,90.0,bottom
Y1,174.325,-78.825,0.0,bottom
Y2,153.85,-101.75,90.0,bottom
Y3,149.425,-80.800001,270.0,top
Y4,167.425,-95.75,90.0,top
