Designator,Mid X,Mid Y,Rotation,Layer
FB2,171.825,-79.45,0.0,bottom
J1,162.2,-116.5525,0.0,top
J2,173.0,-96.0,90.0,bottom
J3,131.0,-96.0,270.0,bottom
J4,140.6,-113.98,270.0,top
J5,140.8,-75.0,180.0,top
Q1,151.75,-118.6,180.0,bottom
R1,174.39,-87.79,90.0,top
R10,175.335,-113.900001,180.0,bottom
R100,135.45,-78.2,270.0,top
R101,136.15,-79.6,270.0,top
R102,135.45,-79.6,270.0,top
R103,162.17,-94.075001,180.0,bottom
R104,164.644974,-104.956901,0.0,bottom
R105,155.829975,-104.656899,180.0,bottom
R106,155.829975,-103.256899,180.0,bottom
R107,164.644974,-103.556898,0.0,bottom
R108,162.300149,-107.3569,90.0,bottom
R109,156.474975,-106.756899,180.0,bottom
R11,175.335,-113.2,180.0,bottom
R110,164.644975,-104.256901,180.0,bottom
R111,155.829975,-103.956899,0.0,bottom
R112,157.245,-103.25,180.0,bottom
R113,164.644974,-102.8569,180.0,bottom
R114,161.60015,-107.3569,270.0,bottom
R115,156.474975,-106.056899,0.0,bottom
R116,159.199849,-100.611899,270.0,bottom
R117,160.4,-100.611898,270.0,bottom
R12,175.36,-114.6,0.0,bottom
R13,174.67,-112.5,180.0,bottom
R14,175.335,-111.799999,180.0,bottom
R15,175.035,-110.0,90.0,bottom
R16,174.335,-110.0,90.0,bottom
R17,172.235,-110.0,90.0,bottom
R18,175.335,-111.100001,0.0,bottom
R19,175.735,-110.0,270.0,bottom
R2,175.09,-87.79,90.0,top
R20,168.1,-115.95,180.0,bottom
R21,169.52,-115.95,0.0,bottom
R22,175.335,-115.3,0.0,bottom
R23,169.2,-117.15,0.0,bottom
R24,174.12,-107.9,180.0,top
R25,166.8,-109.9,270.0,top
R26,169.295,-109.55,0.0,top
R27,167.85,-109.55,180.0,top
R28,154.85,-119.7,180.0,bottom
R29,170.9,-117.15,180.0,bottom
R3,169.74,-106.425,90.0,bottom
R30,151.55,-115.845,90.0,bottom
R31,154.049999,-118.545,90.0,bottom
R32,152.95,-115.845,270.0,bottom
R33,152.25,-115.845,270.0,bottom
R35,129.225,-97.85,180.0,top
R36,169.599999,-78.250001,0.0,bottom
R37,169.5,-73.8,90.0,bottom
R38,169.85,-82.895,270.0,top
R39,169.15,-82.895,270.0,top
R4,154.2,-75.35,180.0,bottom
R40,171.250001,-82.895001,270.0,top
R41,170.55,-82.895,90.0,top
R42,160.779999,-97.874999,0.0,bottom
R43,164.97,-89.63,90.0,bottom
R44,163.37,-89.63,90.0,bottom
R45,160.78,-98.575001,180.0,bottom
R46,162.67,-89.629999,90.0,bottom
R47,129.925,-77.3,180.0,top
R48,150.2,-75.057502,90.0,top
R49,145.615,-81.899999,180.0,top
R5,154.2,-76.05,180.0,bottom
R50,145.615,-81.200001,0.0,top
R51,151.82,-79.575,270.0,top
R52,148.575,-96.875,270.0,top
R53,147.875,-96.875,270.0,top
R54,145.4,-94.7,270.0,bottom
R55,159.15,-93.225,180.0,top
R56,144.7,-94.695,90.0,bottom
R57,159.15,-93.925,180.0,top
R58,156.22,-90.475,180.0,top
R59,156.22,-89.775,180.0,top
R6,169.245,-105.049999,180.0,bottom
R60,153.700001,-93.725,90.0,bottom
R61,154.05,-84.655,270.0,top
R62,152.82,-96.425,180.0,top
R63,153.35,-84.655,270.0,top
