Designator,Mid X,Mid Y,Rotation,Layer
D8,177.046906,-66.775,0.0,top
D9,177.046906,-64.233332,0.0,top
FB1,199.925,-76.475,90.0,bottom
FB2,200.625,-75.08,90.0,bottom
FB3,186.75,-69.380001,0.0,bottom
J1,179.125,-78.474999,270.0,bottom
J2,221.125,-78.475,270.0,bottom
L1,209.46,-59.15,180.0,top
L2,196.19,-57.46295,0.0,top
L3,195.6,-61.18295,270.0,top
L4,183.89,-61.18295,270.0,top
L5,183.3,-57.45295,180.0,top
M1,178.075,-62.275,270.0,bottom
Q1,197.25,-100.675,180.0,bottom
Q2,203.55,-100.675,180.0,bottom
Q3,222.6,-96.8375,0.0,bottom
R10,203.625,-101.182499,270.0,top
R100,188.625,-92.55,270.0,bottom
R101,188.625,-91.15,270.0,bottom
R102,222.925,-75.8,180.0,top
R103,221.675,-83.95,270.0,top
R11,199.2,-100.355,270.0,bottom
R12,195.3,-100.995,90.0,bottom
R13,205.5,-100.355,270.0,bottom
R14,201.6,-100.995,90.0,bottom
R15,185.48,-82.975,0.0,top
R16,223.455,-88.5,0.0,top
R17,223.455,-92.5,0.0,top
R18,223.455,-89.5,0.0,top
R19,223.455,-93.5,0.0,top
R20,223.455,-90.5,0.0,top
R21,223.455,-94.5,0.0,top
R22,223.455,-91.5,0.0,top
R23,223.455,-95.5,0.0,top
R24,204.305,-82.975,0.0,bottom
R25,205.47,-78.475,180.0,bottom
R26,195.28,-81.975,0.0,bottom
R27,196.28,-83.95,0.0,bottom
R28,182.4,-92.65,180.0,top
R29,183.8,-102.25,180.0,top
R3,193.625,-86.63,270.0,bottom
R30,185.525,-94.8,270.0,bottom
R31,186.925,-94.8,270.0,bottom
R32,187.625,-94.8,270.0,bottom
R33,188.325,-94.8,270.0,bottom
R34,219.2,-63.775,90.0,top
R35,202.4,-62.95,270.0,bottom
R36,222.607499,-64.55,0.0,top
R37,192.855,-68.075,0.0,bottom
R38,221.85,-59.7,0.0,top
R39,192.855,-66.125,0.0,bottom
R4,208.625,-88.295,90.0,bottom
R40,192.855,-67.425,0.0,bottom
R41,220.8,-60.05,270.0,top
R42,219.025,-54.875,270.0,top
R43,221.145,-61.1,180.0,top
R44,219.725,-54.875,270.0,top
R45,198.0,-60.3,270.0,bottom
R46,183.45,-95.775,0.0,bottom
R47,197.3,-60.3,270.0,bottom
R48,190.870478,-54.455,270.0,bottom
R49,190.175,-54.455,270.0,bottom
R5,218.9,-100.435,270.0,bottom
R50,198.0,-61.7,90.0,bottom
R51,183.45,-95.075,0.0,bottom
R52,197.3,-61.7,90.0,bottom
R53,190.895478,-63.77,90.0,bottom
R54,192.295478,-63.77,90.0,bottom
R56,193.598039,-54.375,90.0,top
R57,186.725,-63.98,90.0,top
R58,188.6,-63.77,90.0,bottom
R59,186.695,-66.5,180.0,bottom
R6,210.125,-83.975,0.0,bottom
R60,179.605001,-58.05,0.0,top
R61,177.514407,-65.5,180.0,top
R62,177.514407,-62.95,180.0,top
R63,177.514407,-60.425,180.0,top
R64,187.2,-63.77,90.0,bottom
R65,183.45,-93.675,0.0,bottom
R66,186.695,-65.8,180.0,bottom
R67,188.625,-54.48,270.0,bottom
R68,189.325,-54.48,270.0,bottom
R69,181.545,-63.775,180.0,bottom
R7,192.325,-101.207499,270.0,top
R70,181.545,-63.075,180.0,bottom
R71,190.8,-54.375,270.0,top
R72,190.925,-63.98,90.0,top
R73,188.825,-63.98,90.0,top
R74,188.7,-54.375,270.0,top
R75,187.325,-102.55,90.0,bottom
R76,186.624999,-102.545,90.0,bottom
R77,185.425,-102.545,90.0,bottom
R78,183.45,-96.475,180.0,bottom
R79,183.45,-94.375,180.0,bottom
R8,196.1,-101.182499,270.0,top
R80,216.98,-84.225,180.0,bottom
R81,216.975,-85.625,180.0,bottom
R82,216.975,-86.325,180.0,bottom
R83,216.975,-84.925,180.0,bottom
R84,209.145,-99.505,0.0,bottom
R85,218.2,-100.435,90.0,bottom
R86,218.385,-98.235,180.0,bottom
R87,206.77,-101.45,0.0,bottom
R88,187.925,-92.55,270.0,bottom
R89,187.925,-91.150001,270.0,bottom
R9,199.875,-101.182499,270.0,top
R90,189.325,-92.55,270.0,bottom
R91,222.68,-98.025,0.0,top
R92,205.275,-70.6,90.0,bottom
R93,207.275,-70.6,90.0,bottom
R95,189.325,-91.155,270.0,bottom
R96,219.925,-97.7875,0.0,bottom
R99,209.975,-70.6,270.0,bottom
SW1,216.8,-101.45,0.0,top
SW2,178.9,-92.65,0.0,top
SW3,209.95,-101.45,0.0,top
TP10,224.345,-93.5,0.0,top
TP11,224.345,-90.5,0.0,top
TP12,224.345,-94.5,0.0,top
TP13,224.345,-91.5,0.0,top
TP14,224.345,-95.5,0.0,top
TP15,184.725,-99.05,0.0,bottom
TP16,181.574999,-102.625,270.0,bottom
TP17,183.074999,-102.625,270.0,bottom
TP18,187.2,-91.675,270.0,bottom
TP19,185.7,-91.675,270.0,bottom
TP20,184.6,-91.675,90.0,bottom
TP21,183.1,-91.675,90.0,bottom
TP22,206.175,-64.1,0.0,top
TP23,196.0,-54.25,0.0,top
TP24,200.6734,-63.8016,0.0,top
TP25,183.175,-68.467949,0.0,top
TP26,187.325,-101.175,270.0,bottom
TP27,186.624999,-101.175,270.0,bottom
TP28,185.425,-101.175,270.0,bottom
TP29,185.3,-96.7,270.0,bottom
TP30,185.3,-95.975,270.0,bottom
TP31,191.175,-71.425,90.0,bottom
TP32,189.675,-71.425,90.0,bottom
TP5,208.925,-83.975,0.0,bottom
TP6,211.325,-83.975,0.0,bottom
TP7,224.345,-88.5,0.0,top
TP8,224.345,-92.5,0.0,top
TP9,224.345,-89.5,0.0,top
U1,200.125,-78.475,270.0,top
U10,177.725,-92.525,180.0,bottom
U11,184.98226,-67.057949,90.0,top
U12,213.83,-100.14,0.0,bottom
U13,189.62,-69.38,0.0,bottom
U14,216.35,-94.45,315.0,top
U15,208.325,-96.1,270.0,top
U16,202.25,-96.1,270.0,top
U17,195.975,-96.1,270.0,top
U18,221.675,-78.475001,180.0,top
U19,221.675,-82.0,180.0,top
U2,204.822501,-85.9525,180.0,bottom
U3,192.525,-99.875,0.0,bottom
U4,187.225,-97.675,0.0,top
U5,216.775,-59.125,270.0,top
U6,195.7,-67.1,180.0,bottom
U7,199.529999,-59.212951,90.0,top
U8,189.747739,-59.12795,180.0,top
U9,198.43,-63.5116,180.0,top
Y1,180.9,-97.275,270.0,top
