Designator,Footprint,Quantity,Value,LCSC Part #
"J1, J16",PinHeader_1x05_P2.54mm_Vertical,2,Conn_01x05,
"J12, J13, J9",PinHeader_1x09_P2.54mm_Vertical,3,Conn_01x09,
"J14, J19, J21, J22, J7",PinHeader_1x03_P2.54mm_Vertical,5,Conn_01x03,
"J2, J3, J4, J5",SAMTEC_LSHM-130-XX.X-XXX-DV-A-S-K-XX,4,LSHM-130-XX.X-XXX-DV-A-S-K-XX,
"J23, J24, J8",PinHeader_1x16_P2.54mm_Vertical,3,Conn_01x16,
"TP1, TP2, TP3, TP4",MountingHole_2.2mm_M2_Pad_Via,4,Mounting Hole,
"TP10, TP11, TP12, TP13, TP14, TP5, TP6_2, TP7, TP8_2, TP9",Test Point 0.75mm,10,TestPoint,
"TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP30",TestPoint_THTPad_D1.0mm_Drill0.5mm,16,TestPoint,
"TP6, TP7_2, TP8, TP9_2",MountingHole_2.2mm_M2_Pad_Via,4,MH,
